puzzle_file,board_size,v1_solved,v1_time_ms,v1_nodes,v1_hash_hits,v2_std_solved,v2_std_time_ms,v2_std_nodes,v2_std_backtracks,v2_std_domain_wipeouts,v2_bf_solved,v2_bf_time_ms,v2_bf_nodes,v2_bf_backtracks,v2_bf_domain_wipeouts,v2_par_solved,v2_par_time_ms,v2_par_nodes,v2_par_backtracks,v2_par_domain_wipeouts,v2_par_bf_solved,v2_par_bf_time_ms,v2_par_bf_nodes,v2_par_bf_backtracks,v2_par_bf_domain_wipeouts,best_v2_variant,best_v2_time_ms,speedup_vs_v1
"data/benchmark/size_7_colors_10_bd2c0d69.csv",7,true,743.8172,153295,0,true,0.8236,145,134,39,true,0.4860,212,228,66,true,1.0956,381,463,140,true,3.8625,1010,1341,411,"V2 Border-First",0.4860,1530.6173
"data/benchmark/size_7_colors_11_6f1489b4.csv",7,true,63.9649,13860,0,true,0.7304,98,62,14,true,0.3260,151,125,24,true,0.9193,345,382,96,true,1.8163,268,272,60,"V2 Border-First",0.3260,196.2360
"data/benchmark/size_7_colors_4_9e300d05.csv",7,true,9605.0067,2017829,0,true,5.1835,2395,3686,1341,true,9.0948,2395,3686,1341,true,5.6993,4076,6173,2151,true,11.0556,178,209,76,"V2 Standard",5.1835,1852.9817
"data/benchmark/size_7_colors_5_28909778.csv",7,true,2870.1476,627302,0,true,493.5874,357175,572825,215700,true,159.7715,69250,109766,40566,true,1120.1525,2072368,3360107,1287793,true,409.3912,816813,1319314,502553,"V2 Border-First",159.7715,17.9641
"data/benchmark/size_7_colors_6_c54a3b2d.csv",7,false,60004.2100,8553360,0,true,12263.5492,2877376,4244508,1367182,true,6280.3867,1354117,2006708,652641,true,2679.4902,2939202,4567630,1628482,true,3412.7108,3811051,5678658,1867670,"V2 Parallel (8 threads)",2679.4902,
"data/benchmark/size_7_colors_7_87abf60b.csv",7,true,5914.0317,1714747,0,true,92.6886,55488,79669,24231,true,36.6253,21697,29255,7608,true,36.6050,43089,66054,23023,true,29.0340,26241,35476,9292,"V2 Parallel Border-First (8 threads)",29.0340,203.6930
"data/benchmark/size_7_colors_8_336fa3f2.csv",7,true,20120.3023,3892251,0,true,4.9113,2629,3727,1148,true,4.9273,2871,3719,898,true,13.2033,20858,31204,10402,true,12.7971,8250,10634,2436,"V2 Standard",4.9113,4096.7082
"data/benchmark/size_7_colors_9_49f86b9a.csv",7,true,997.5676,325613,0,true,19.4360,5561,8078,2567,true,22.2046,5461,7631,2220,true,3.9745,1802,2711,960,true,14.7008,8068,11184,3176,"V2 Parallel (8 threads)",3.9745,250.9893
"data/benchmark/size_7_official_16e7fdba.csv",7,true,12.5540,239,0,true,0.3143,53,9,6,true,0.4129,74,29,5,true,0.6433,172,89,14,true,1.2975,92,46,6,"V2 Standard",0.3143,39.9436
"data/benchmark/size_8_colors_10_54fac254.csv",8,true,24450.8663,3283617,0,true,45.1868,13342,19607,6330,true,114.3988,14219,19297,5143,true,21.1510,16067,24197,8200,true,47.6109,37088,49974,12973,"V2 Parallel (8 threads)",21.1510,1156.0124
"data/benchmark/size_8_colors_11_8f0361b1.csv",8,false,60007.6860,8533169,0,true,31.0507,6910,10261,3416,true,59.3435,15656,23215,7624,true,25.3685,2976,4190,1284,true,65.7132,36490,55076,18659,"V2 Parallel (8 threads)",25.3685,
"data/benchmark/size_8_colors_4_08aae6f5.csv",8,false,60011.2430,6349852,0,true,82.7903,83685,137621,54001,true,442.2636,83685,137621,54001,true,17.0305,6929,10539,3679,true,5.8379,1300,1296,63,"V2 Parallel Border-First (8 threads)",5.8379,
"data/benchmark/size_8_colors_5_a75c8e31.csv",8,false,60008.4357,4900794,0,true,212.2651,159878,259426,99613,true,385.1490,159878,259426,99613,true,20.0740,25429,40311,14951,true,19.2191,29413,47006,17660,"V2 Parallel Border-First (8 threads)",19.2191,
"data/benchmark/size_8_colors_6_11a95cdc.csv",8,false,60002.5265,5350825,0,false,60008.8927,19200345,29773742,10573398,false,60000.2063,15281788,23692603,8410816,true,724823.2645,1039264085,1628468997,589204981,true,213497.2186,301703056,472943652,171240663,"V2 Standard",60008.8927,
"data/benchmark/size_8_colors_7_ded5fbbf.csv",8,true,14371.9880,2262689,0,false,60000.3075,16642938,25414050,8771113,false,60004.8839,12910617,20044683,7134067,true,1243389.0797,1948495815,3026780544,1078284803,true,467040.3586,1013010119,1576536674,563526631,"V2 Standard",60000.3075,
"data/benchmark/size_8_colors_8_d836cb5a.csv",8,false,60051.2898,10873940,0,true,6588.8938,918537,1399520,481048,true,1838.4133,212906,309381,96540,true,1715.3940,1148530,1790103,641642,true,446.4988,304093,436321,132300,"V2 Parallel Border-First (8 threads)",446.4988,
"data/benchmark/size_8_colors_9_635ffa33.csv",8,false,60004.6397,7289717,0,true,22.8372,7995,10679,2749,true,20.6043,7055,8947,1957,true,37.9315,48327,68788,20531,true,30.1951,27852,35870,8085,"V2 Border-First",20.6043,
"data/benchmark/size_8_official_f374b71a.csv",8,true,96.5708,17161,0,true,0.3384,88,33,10,true,0.7407,202,187,50,true,2.4647,76,21,8,true,2.2518,594,678,161,"V2 Standard",0.3384,285.3602
