cell,row,col,nplace,entropy_nats,n_eff,top_piece,top_prob
0,0,0,4,1.3711,3.94,1,0.3082
1,0,1,33,3.3768,29.28,49,0.0631
2,0,2,56,3.9965,54.41,5,0.0260
3,0,3,56,4.0186,55.62,9,0.0218
4,0,4,56,4.0169,55.53,53,0.0223
5,0,5,56,4.0164,55.50,53,0.0224
6,0,6,56,4.0163,55.49,9,0.0225
7,0,7,56,4.0163,55.49,9,0.0224
8,0,8,56,4.0163,55.49,53,0.0224
9,0,9,56,4.0163,55.50,53,0.0224
10,0,10,56,4.0164,55.50,53,0.0225
11,0,11,56,4.0167,55.52,53,0.0225
12,0,12,56,4.0178,55.58,53,0.0226
13,0,13,56,4.0084,55.06,29,0.0250
14,0,14,34,3.4481,31.44,35,0.0625
15,0,15,4,1.3759,3.96,1,0.2993
16,1,0,34,3.4458,31.37,34,0.0605
17,1,1,648,5.9858,397.74,110,0.0106
18,1,2,784,6.5057,668.97,173,0.0047
19,1,3,784,6.5412,693.12,251,0.0034
20,1,4,784,6.5413,693.17,124,0.0034
21,1,5,784,6.5410,693.00,124,0.0034
22,1,6,784,6.5410,692.96,124,0.0034
23,1,7,784,6.5410,692.95,124,0.0034
24,1,8,784,6.5410,692.96,124,0.0034
25,1,9,784,6.5410,692.96,124,0.0034
26,1,10,784,6.5410,692.95,124,0.0034
27,1,11,784,6.5411,693.05,124,0.0034
28,1,12,784,6.5398,692.14,124,0.0034
29,1,13,784,6.5272,683.48,124,0.0039
30,1,14,688,6.0033,404.75,110,0.0101
31,1,15,33,3.3837,29.48,6,0.0609
32,2,0,56,4.0090,55.09,16,0.0260
33,2,1,784,6.5216,679.69,124,0.0040
34,2,2,784,6.6524,774.65,144,0.0021
35,2,3,784,6.6577,778.79,213,0.0018
36,2,4,784,6.6568,778.04,214,0.0018
37,2,5,784,6.6566,777.94,213,0.0018
38,2,6,784,6.6566,777.89,213,0.0018
39,2,7,784,6.6566,777.88,213,0.0018
40,2,8,784,6.6566,777.88,213,0.0018
41,2,9,784,6.6566,777.88,213,0.0018
42,2,10,784,6.6566,777.91,213,0.0018
43,2,11,784,6.6567,777.96,213,0.0018
44,2,12,784,6.6574,778.51,214,0.0018
45,2,13,784,6.6542,776.07,198,0.0020
46,2,14,784,6.5207,679.07,173,0.0045
47,2,15,56,3.9982,54.50,58,0.0262
48,3,0,56,4.0182,55.60,57,0.0229
49,3,1,784,6.5360,689.53,251,0.0036
50,3,2,784,6.6566,777.94,213,0.0018
51,3,3,784,6.6597,780.35,221,0.0017
52,3,4,784,6.6594,780.11,206,0.0017
53,3,5,784,6.6595,780.15,206,0.0017
54,3,6,784,6.6594,780.09,206,0.0017
55,3,7,784,6.6594,780.09,206,0.0017
56,3,8,784,6.6594,780.09,206,0.0017
57,3,9,784,6.6594,780.09,206,0.0017
58,3,10,784,6.6594,780.10,206,0.0017
59,3,11,784,6.6595,780.12,206,0.0017
60,3,12,784,6.6599,780.44,214,0.0016
61,3,13,784,6.6576,778.66,214,0.0018
62,3,14,784,6.5488,698.42,124,0.0030
63,3,15,56,4.0188,55.64,9,0.0217
64,4,0,56,4.0179,55.58,57,0.0223
65,4,1,784,6.5366,689.94,124,0.0034
66,4,2,784,6.6555,777.02,196,0.0018
67,4,3,784,6.6592,779.96,193,0.0017
68,4,4,784,6.6590,779.73,221,0.0017
69,4,5,784,6.6588,779.64,221,0.0017
70,4,6,784,6.6589,779.67,221,0.0017
71,4,7,784,6.6589,779.66,221,0.0017
72,4,8,784,6.6589,779.67,221,0.0017
73,4,9,784,6.6589,779.67,221,0.0017
74,4,10,784,6.6589,779.68,221,0.0017
75,4,11,784,6.6589,779.69,214,0.0017
